City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,invercargill,-46.4,168.35,280.38,86,0,0.45,NZ,1720839006
120,tralee,52.2704,-9.7026,285.62,90,99,1.17,IE,1720839008
121,porvoo,60.3923,25.6651,289.91,89,0,2.0,FI,1720838891
122,tura,25.5198,90.2201,298.12,98,100,2.22,IN,1720839012
123,grand baie,-20.0182,57.5802,296.41,80,78,0.45,MU,1720839014
124,marsa alam,25.0757,34.8918,307.49,29,0,3.42,EG,1720839015
125,dakhla,23.6848,-15.958,292.1,94,6,3.76,EH,1720839017
126,belyy yar,53.6039,91.3903,297.09,57,0,2.0,RU,1720839019
127,opuwo,-18.0607,13.84,284.76,51,32,1.55,NA,1720839021
128,codrington,-38.2667,141.9667,283.76,82,98,2.06,AU,1720839023
129,pokhara,28.2333,83.9833,296.0,88,100,0.21,NP,1720839024
130,lospalos,-8.5186,127.0025,298.72,53,72,4.74,TL,1720839027
131,prata,-19.3072,-48.9242,293.42,44,32,1.59,BR,1720839029
132,singa,13.15,33.9333,296.57,84,100,2.56,SD,1720839033
133,port elizabeth,-33.918,25.5701,286.66,81,0,2.06,ZA,1720839035
134,askoy,60.4092,5.226,286.34,100,3,3.09,NO,1720839038
135,kristiansund,63.1115,7.732,286.55,96,100,1.54,NO,1720839040
136,amursk,50.2261,136.8994,294.65,52,99,1.33,RU,1720839042
137,tiksi,71.6872,128.8694,274.83,82,94,5.1,RU,1720839045
138,luderitz,-26.6481,15.1594,285.2,79,0,0.88,NA,1720839048
139,kangding,30.0513,101.9603,292.47,93,100,1.52,CN,1720839051
140,orange walk,17.8333,-88.8333,298.45,94,100,1.59,BZ,1720839054
141,chingirlau,51.095,54.0814,289.86,79,100,9.35,KZ,1720839056
142,guerrero negro,27.9769,-114.0611,292.77,84,0,6.28,MX,1720839058
143,redencao,-4.2258,-38.7306,295.33,96,90,1.85,BR,1720839061
144,fisterra,42.9049,-9.2629,288.72,77,79,8.14,ES,1720839063
145,ola,59.5833,151.2833,287.05,78,29,4.21,RU,1720839068
146,arish,31.1316,33.7984,299.73,80,0,3.05,EG,1720839070
